"name","brand","sku","rrp","price","category","description","link"
"Premier APK Modern Rock 22 Drum Kit - Galactic Black","Premier","64299-44GBW","1599.00","1599.00","Acoustic Kits","Experience powerful sound, response and performance at an incredible price with Premier’s AKP Modern Rock 22 Drumkit. With a modern day standard configuration, this kit is not only a great all-rounder but features toms that pack a punch, a crisp snares and a kick fit for live on-stage performances. Comprised of gorgeous tonewood  100% Birch shells, the Modern Rock 22 provides a more full-bodied tone suitable for all music genres; however, it’s not all just good looks! The APK Series is incredibly easy to set up and tune straight out of the box – making it a gigging musician’s best friend. Sporting features such as new and improved low-mass lugs, a fabulous chrome-plated ISO mounting system, rubber plinths under the claw for protection and four metallic sparkle wraps to choose from to keep your kit looking great for years to come. The Premier Modern Rock 22 competes as the right choice for quality of production, sound, and price. Get yours today thanks to Allans Billy Hyde and Premier!!!","http://www.allansbillyhyde.com.au/prod/64299-44GBW/Premier-APK-Modern-Rock-22-Drum-Kit---Galactic-Black.aspx"
"Premier APK Stage 20 Drum Kit - Cosmic Blue","Premier","64299-25CBW","1499.00","1499.00","Acoustic Kits","Experience the powerful sound, quick response and performance at an incredible price with Premier’s AKP Stage 20 Drum Kit. Comprised of gorgeous tonewood 100% Birch shells, the Stage 20 provides a more full-bodied tone suitable for all music genres; however, this kit is not all just good looks! The APK Series is incredibly easy to set up and tune straight out of the box making it a gigging musician’s best friend. The kit shines most playing light rock or fusion with a combination of its 20”x18” kick drum, quick responding toms and sharp snare. Sporting features such as new and improved low-mass lugs, a fabulous chrome-plated ISO mounting system, rubber plinths under the claw for protection and four metallic sparkle wraps to choose from to keep your kit looking great for years to come. The Premier Stage 20 is the right choice for quality of production, sound, and price. Warp your audience’s minds with incredible beats thanks to Allans Billy Hyde and Premier!!!","http://www.allansbillyhyde.com.au/prod/64299-25CBW/Premier-APK-Stage-20-Drum-Kit---Cosmic-Blue.aspx"
"Premier APK Bebop 18"" Drum Kit (Galactic Black Wrap)","Premier","64299-56GBW","1499.00","1499.00","Acoustic Kits","The Premier APK Bebop 18"" Drum Kit offers a modern and cool smaller configuration. It provides the ideal balance of performance and style with 6-ply 100% Birch shells that are acoustically warm and resonant for easier tuning and clarity. Using all of Premier's experience, the APK is crammed full of features that includes Artist UK designed improved low-mass lugs, an excellent chrome-plated ISO mounting system and 2.3mm triple flange steel hoops. Stylish metallic sparkle wraps that will keep your drums not only sounding great plus rubber plinths under the claw hooks for added protection. APK has the look and feel you come to expect from Premier Percussion.","http://www.allansbillyhyde.com.au/prod/64299-56GBW/Premier-APK-Bebop-18-Drum-Kit-(Galactic-Black-Wrap).aspx"
"Premier APK Club Ace 20"" Drum Kit (Cosmic Blue Wrap)","Premier","64299-61CBW","1499.00","1499.00","Acoustic Kits","The Premier APK Club Ace 20"" Drum Kit offers a modern and cool medium sized configuration. It provides the ideal balance of performance and style with 6-ply 100% Birch shells that are acoustically warm and resonant for easier tuning and clarity. Using all of Premier's experience, the APK is crammed full of features that includes Artist UK designed improved low-mass lugs, an excellent chrome-plated ISO mounting system and 2.3mm triple flange steel hoops. Stylish metallic sparkle wraps that will keep your drums not only sounding great plus rubber plinths under the claw hooks for added protection. APK has the look and feel you come to expect from Premier Percussion.","http://www.allansbillyhyde.com.au/prod/64299-61CBW/Premier-APK-Club-Ace-20-Drum-Kit-(Cosmic-Blue-Wrap).aspx"
"Drumcraft M8 Fusion 22"" Maple Drum Kit (Cardiac Burst)","Drumcraft","DC8055","2999.00","2099.00","Acoustic Kits","The Drumcraft M8 Fusion 22"" Maple Drum Kit (Cardiac Burst) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Cardiac Burst varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8055/Drumcraft-M8-Fusion-22-Maple-Drum-Kit-(Cardiac-Burst).aspx"
"Premier APK Club Ace 20"" Drum Kit (Galactic Black Kit)","Premier","64299-61GBW","1499.00","1499.00","Acoustic Kits","The Premier APK Club Ace 20"" Drum Kit offers a modern and cool medium sized configuration. It provides the ideal balance of performance and style with 6-ply 100% Birch shells that are acoustically warm and resonant for easier tuning and clarity. Using all of Premier's experience, the APK is crammed full of features that includes Artist UK designed improved low-mass lugs, an excellent chrome-plated ISO mounting system and 2.3mm triple flange steel hoops. Stylish metallic sparkle wraps that will keep your drums not only sounding great plus rubber plinths under the claw hooks for added protection. APK has the look and feel you come to expect from Premier Percussion.","http://www.allansbillyhyde.com.au/prod/64299-61GBW/Premier-APK-Club-Ace-20-Drum-Kit-(Galactic-Black-Kit).aspx"
"Drumcraft M8 Maple 22"" Fusion (Venice White)","Drumcraft","DC8040","2999.00","2099.00","Acoustic Kits","The award-winning Drumcraft Series 8 drums are the flagship of the DrumCraft line. Crafted from either North American Hard Rock maple, A-Grade South Siberian birch or 7mm extruded seamless transparent Acrylic, these drums lead the field with every single part they are made from. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for an optimale resonance of the drum. The patented snare strainer is very stable and reacts very smoothly. All Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Finished with environmentally friendly water based varnishes and satin chrome shell hardware the look of the DC8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8040/Drumcraft-M8-Maple-22-Fusion-(Venice-White).aspx"
"Premier APK Modern Rock 22 Drum Kit - Solar Red","Premier","64299-44SRW","1599.00","999.00","Acoustic Kits","Experience powerful sound, response and performance at an incredible price with Premier’s AKP Modern Rock 22 Drumkit. With a modern day standard configuration, this kit is not only a great all-rounder but features toms that pack a punch, a crisp snares and a kick fit for live on-stage performances. Comprised of gorgeous tonewood 100% Birch shells, the Modern Rock 22 provides a more full-bodied tone suitable for all music genres; however, it’s not all just good looks! The APK Series is incredibly easy to set up and tune straight out of the box – making it a gigging musician’s best friend. Sporting features such as new and improved low-mass lugs, a fabulous chrome-plated ISO mounting system, rubber plinths under the claw for protection and four metallic sparkle wraps to choose from to keep your kit looking great for years to come. The Premier Modern Rock 22 competes as the right choice for quality of production, sound, and price. Get yours today thanks to Allans Billy Hyde and Premier!!!","http://www.allansbillyhyde.com.au/prod/64299-44SRW/Premier-APK-Modern-Rock-22-Drum-Kit---Solar-Red.aspx"
"Premier APK Bebop 18"" Drum Kit (Lunar Silver Wrap)","Premier","64299-56LSW","1499.00","1499.00","Acoustic Kits","The Premier APK Bebop 18"" Drum Kit offers a modern and cool smaller configuration. It provides the ideal balance of performance and style with 6-ply 100% Birch shells that are acoustically warm and resonant for easier tuning and clarity. Using all of Premier's experience, the APK is crammed full of features that includes Artist UK designed improved low-mass lugs, an excellent chrome-plated ISO mounting system and 2.3mm triple flange steel hoops. Stylish metallic sparkle wraps that will keep your drums not only sounding great plus rubber plinths under the claw hooks for added protection. APK has the look and feel you come to expect from Premier Percussion.","http://www.allansbillyhyde.com.au/prod/64299-56LSW/Premier-APK-Bebop-18-Drum-Kit-(Lunar-Silver-Wrap).aspx"
"Drumcraft M8 Fusion 20"" Maple Drum Kit (Cardiac Burst)","Drumcraft","DC8025","2999.00","2099.00","Acoustic Kits","The Drumcraft M8 Fusion 20"" Maple Drum Kit (Cardiac Burst) is part of the flagship series Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Cardiac Burst varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8025/Drumcraft-M8-Fusion-20-Maple-Drum-Kit-(Cardiac-Burst).aspx"
"Drumcraft A8 Rock 24"" Acrylic Drum Shell Pack","Drumcraft","DC8099","3395.00","2399.00","Acoustic Kits","","http://www.allansbillyhyde.com.au/prod/DC8099/Drumcraft-A8-Rock-24-Acrylic-Drum-Shell-Pack.aspx"
"Drumcraft M8 Danny Gottlieb Signature Drum Kit (Charcoal Burst)","Drumcraft","DC8090","3699.00","2599.00","Acoustic Kits","The Drumcraft M8 Danny Gottlieb Signature Drum Kit (Charcoal Burst) is a tribute to the great American Jazz drumming legend. Having performed or recorded with legends such as Sting, Chick Corea, Herbie Hancock and John Schofield, Gottlieb is regarded as one of the hardest working jazz drummers of the modern era, having performed on 400 CD's and won four Grammy awards. The Drumcraft Danny Gottlieb Signature kit features an All American Maple shell wrapped with a ply of the finest Walnut wood and finished in charcoal to natural burst finish. The toms are 6-ply, the kick 7-ply and the snare is 10-ply to fulfil the demands of his playing style.","http://www.allansbillyhyde.com.au/prod/DC8090/Drumcraft-M8-Danny-Gottlieb-Signature-Drum-Kit-(Charcoal-Burst).aspx"
"Drumcraft M8 Fusion 22"" Maple Drum Kit (Electric Black)","Drumcraft","DC8035","2999.00","2099.00","Acoustic Kits","The Drumcraft M8 Fusion 22"" Maple Drum Kit (Electric Black) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Electric Black varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8035/Drumcraft-M8-Fusion-22-Maple-Drum-Kit-(Electric-Black).aspx"
"Drumcraft 14"" x 6.5"" Bronze Snare Drum","Drumcraft","DC8845","1399.00","979.00","Snare Drums","The words ""quality"" and ""robust"" stand out in Drumcraft's vocabulary, having been forged from German design and engineering. The Drumcraft 14 x 6.5 Bronze Snare Drum delivers cracking mid frequencies but also retains a full body low end stick response offering a fantastic addition to any drummers setup.","http://www.allansbillyhyde.com.au/prod/DC8845/Drumcraft-14-x-6.5-Bronze-Snare-Drum.aspx"
"Drumcraft DCB7 Rock 22"" Birch Drum Kit (Liquid Chrome)","Drumcraft","DC7180","2199.00","1599.00","Acoustic Kits","The Drumcraft DCB7 Rock 22"" Birch Drum Kit (Liquid Chrome) is based on the award-winning Drumcraft Series 8 and is made of the same high-class materials.   Especially eye-catching is the polycarbonate-covering of the birch shells which produces complex light reflections that have a distinctly unique look. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance from the drum. The patented snare strainer is very stable and reacts very smoothly. Equipped with Remo heads, that guarantee a very warm and balanced sound, the DCB7 will fullfil the highest demands of any drummer.","http://www.allansbillyhyde.com.au/prod/DC7180/Drumcraft-DCB7-Rock-22-Birch-Drum-Kit-(Liquid-Chrome).aspx"
"Drumcraft 14"" x 6.5"" Aluminium Snare Drum","Drumcraft","DC8835","999.00","699.00","Snare Drums","If you want a sharp and tight attack from an Aluminium Snare drum, then look no further. Made to be visually individual and sporting a sturdy German build and design, these drums are made to last and cut through the band mix.","http://www.allansbillyhyde.com.au/prod/DC8835/Drumcraft-14-x-6.5-Aluminium-Snare-Drum.aspx"
"Drumcraft 13"" x 6"" Lignum Oak Snare Drum","Drumcraft","DC8865","469.00","329.00","Snare Drums","The Drumcraft 13 x 6 Lignum Oak Snare Drum is extremely loud and creates a dry attack but also has cracking high mid frequencies carrying a full body of low end and an incredible tuning range. A perfect enhancement to any drummers setup. Lignum Oak is the choice of Scott Pellegrom for his studio and live work.","http://www.allansbillyhyde.com.au/prod/DC8865/Drumcraft-13-x-6-Lignum-Oak-Snare-Drum.aspx"
"Drumcraft 14"" x 5"" Aluminium Snare Drum","Drumcraft","DC8830","949.00","699.00","Snare Drums","Born from German engineering and design, Drumcraft offers incredible quality and attack in this robust, tight sounding 14 inch snare drum. Drumcraft were made to stand out from the rest. Be independent...try the drum brand that everyone is talking about.","http://www.allansbillyhyde.com.au/prod/DC8830/Drumcraft-14-x-5-Aluminium-Snare-Drum.aspx"
"Drumcraft 14"" x 5"" Bronze Snare Drum","Drumcraft","DC8840","1199.00","849.00","Snare Drums","Drumcraft's product rules are simple; repect nature, achieve perfection and create the best possible drums available. The Drumcraft 14 x 5 Bronze Snare Drum delivers solid, hard hitting high end attack that will really push those snare hits through the band mix. Made from top quality German design, playing Drumcraft drums are made to be visually and sonically individual.","http://www.allansbillyhyde.com.au/prod/DC8840/Drumcraft-14-x-5-Bronze-Snare-Drum.aspx"
"Drumcraft 10"" x 6"" Steel Snare Drum","Drumcraft","DC8805","399.00","279.00","Snare Drums","Drumcraft is the high quality brand derived from German engineering and design. There are no exceptions taken when creating a top quality snare drum as in this example the solid, hard hitting 10 inch Steel Snare with a sharp and pounding attack...a glorious addition to any drummers setup.","http://www.allansbillyhyde.com.au/prod/DC8805/Drumcraft-10-x-6-Steel-Snare-Drum.aspx"
"Drumcraft DC6 Fusion 22"" Drum Kit (Deep Sea Burst)","Drumcraft","DC6120","2199.00","1599.00","Acoustic Kits","The Drumcraft DC6 Fusion 22"" Drum Kit (Deep Sea Burst) is crafted to the same fantastic standards as the Drumcraft 8 Series, featuring specialist wood sourcing, shell composition and chrome black powder coated shell hardware. German-engineered shells with an all 8-ply full Birch composition in a gorgeous, rich blue-burst color, make for the perfect instrument for drummers who want the best value, look and best sound. The DC6 series delivers a powerful rock sound with plenty of attack and comes with a Heavy Duty Hardware pack consisting of a cymbal boom, a straight cymbal stand with ratchet adjustable tilters, boom tilters, a ball snare stand, solid hi-hat and single chain kick pedal.","http://www.allansbillyhyde.com.au/prod/DC6120/Drumcraft-DC6-Fusion-22-Drum-Kit-(Deep-Sea-Burst).aspx"
"Drumcraft DC6 Fusion 22"" Drum Kit (Purple Haze)","Drumcraft","DC6130","2199.00","1599.00","Acoustic Kits","The Drumcraft DC6 Fusion 22"" Drum Kit (Purple Haze) is crafted to the same fantastic standards as the Drumcraft 8 Series, featuring specialist wood sourcing, shell composition and chrome black powder coated shell hardware. German-engineered shells with an all 8-ply full Birch composition in a gloss finished purple-haze make for the perfect instrument for drummers who want the best value, look and best sound. The DC6 series delivers a powerful rock sound with plenty of attack and comes with a Heavy Duty Hardware pack consisting of a cymbal boom, a straight cymbal stand with ratchet adjustable tilters, boom tilters, a ball snare stand, solid hi-hat and single chain kick pedal.","http://www.allansbillyhyde.com.au/prod/DC6130/Drumcraft-DC6-Fusion-22-Drum-Kit-(Purple-Haze).aspx"
"Drumcraft DC6 Rock 22"" Drum Kit (Natural Birch)","Drumcraft","DC6215","2199.00","1599.00","Acoustic Kits","The Drumcraft DC6 Rock 22"" Drum Kit (Natural Birch) is crafted to the same fantastic standards as the Drumcraft 8 Series, featuring specialist wood sourcing, shell composition and chrome black powder coated shell hardware. German-engineered shells with an all 8-ply full Birch composition in a beautifully varnished Birch wood finish, make for the perfect instrument for drummers who want the best value, look and sound. The DC6 series delivers a powerful rock sound with plenty of attack and comes with a Heavy Duty Hardware pack consisting of a cymbal boom, a straight cymbal stand with ratchet adjustable tilters, boom tilters, a ball snare stand, solid hi-hat and single chain kick pedal.","http://www.allansbillyhyde.com.au/prod/DC6215/Drumcraft-DC6-Rock-22-Drum-Kit-(Natural-Birch).aspx"
"Drumcraft DCM7 Rock 22"" Maple Drum Kit (Liquid Chrome)","Drumcraft","DC7080","2399.00","1699.00","Acoustic Kits","The Drumcraft DCM7 Rock 22"" Maple Drum Kit (Liquid Chrome) is based on the award-winning Drumcraft Series 8 and is made of the same high-class materials.   Especially eye-catching is the polycarbonate-covering of the maple shells which produces complex light reflections that have a distinctly unique look. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance from the drum. The patented snare strainer is very stable and reacts very smoothly. Equipped with Remo heads, that guarantee a very warm and balanced sound, the DCM7 will fullfil the highest demands of any drummer.","http://www.allansbillyhyde.com.au/prod/DC7080/Drumcraft-DCM7-Rock-22-Maple-Drum-Kit-(Liquid-Chrome).aspx"
"Drumcraft DC6 Rock 22"" Drum Kit (Purple Haze)","Drumcraft","DC6230","2199.00","1599.00","Acoustic Kits","The Drumcraft DC6 Rock 22"" Drum Kit (Purple Haze) is crafted to the same fantastic standards as the Drumcraft 8 Series, featuring specialist wood sourcing, shell composition and chrome black powder coated shell hardware. German-engineered shells with an all 8-ply full Birch composition in a gloss finished purple-haze make for the perfect instrument for drummers who want the best value, look and best sound. The DC6 series delivers a powerful rock sound with plenty of attack and comes with a Heavy Duty Hardware pack consisting of a cymbal boom, a straight cymbal stand with ratchet adjustable tilters, boom tilters, a ball snare stand, solid hi-hat and single chain kick pedal.","http://www.allansbillyhyde.com.au/prod/DC6230/Drumcraft-DC6-Rock-22-Drum-Kit-(Purple-Haze).aspx"
"Drumcraft DC6 Rock 22"" Drum Kit (Pitch Black)","Drumcraft","DC6200","2199.00","1599.00","Acoustic Kits","The Drumcraft DC6 Rock 22"" Drum Kit (Pitch Black) is crafted to the same fantastic standards as the Drumcraft 8 Series, featuring specialist wood sourcing, shell composition and chrome black powder coated shell hardware. German-engineered shells with an all 8-ply full Birch composition in a deep, heavy metal black make for  a perfect instrument for drummers who look for the best value, look and best sound. The DC6 series delivers a powerful rock sound with plenty of attack and comes with a Heavy Duty Hardware pack consisting of a cymbal boom, a straight cymbal stand with ratchet adjustable tilters, boom tilters, a ball snare stand, solid hi-hat and single chain kick pedal.","http://www.allansbillyhyde.com.au/prod/DC6200/Drumcraft-DC6-Rock-22-Drum-Kit-(Pitch-Black).aspx"
"Drumcraft DC5 Progressive 22"" Drum Kit (Crimson Red Fade)","Drumcraft","DC5060","1699.00","1199.00","Acoustic Kits","The Drumcraft DC5 Fusion 22"" Drum Kit (Crimson Red Fade) includes nickle Drumworks snare throw off, triple bass drum mount, double braced heavy duty hardware with cast tube joints, quality nylon bushings and brass reciever nuts. It also comes equipped with Remo heads, specially designed low reach snare and hi hat stand for younger players and industry leading 'state of the art' zero VOC Eco-friendly lacquers.","http://www.allansbillyhyde.com.au/prod/DC5060/Drumcraft-DC5-Progressive-22-Drum-Kit-(Crimson-Red-Fade).aspx"
"Drumcraft DC6 Fusion 20"" Drum Kit (Natural Birch)","Drumcraft","DC6020","2199.00","1599.00","Acoustic Kits","The Drumcraft DC6 Fusion 20"" Drum Kit (Natural Birch) is crafted to the same fantastic standards as the Drumcraft 8 Series, featuring specialist wood sourcing, shell composition and chrome black powder coated shell hardware. German-engineered shells with an all 8-ply full Birch composition in a beautifully varnished Birch wood finish, make for the perfect instrument for drummers who want the best value, look and sound. The DC6 series delivers a fat rock sound with plenty of attack and comes with a Heavy Duty Hardware pack consisting of a cymbal boom, a straight cymbal stand with ratchet adjustable tilters, boom tilters, a ball snare stand, solid hi-hat and single chain kick pedal.","http://www.allansbillyhyde.com.au/prod/DC6020/Drumcraft-DC6-Fusion-20-Drum-Kit-(Natural-Birch).aspx"
